time,code,class
64.599,n_a,1
66.38,gill_covered_display,1
71.506,n_a,1
72.773,lateral_swimming,1
73.544,gill_covered_display,1
87.904,lateral_swimming,1
90.725,gill_covered_display,1
93.532,lateral_swimming,1
96.863,gill_covered_display,1
100.464,lateral_swimming,1
103.27,n_a,1
104.038,gill_covered_display,1
109.149,lateral_swimming,1
110.444,gill_covered_display,1
114.781,tail_beat,1
116.317,gill_covered_display,1
124.525,lateral_swimming,1
125.533,gill_covered_display,1
128.094,tail_beat,1
129.629,gill_covered_display,1
133.733,lateral_swimming,1
136.037,gill_covered_display,1
138.338,lateral_swimming,1
141.409,gill_covered_display,1
153.186,lateral_swimming,1
154.22,gill_covered_display,1
162.674,lateral_swimming,1
165.265,gill_covered_display,1
177.378,lateral_swimming,1
180.714,gill_covered_display,1
193.037,lateral_swimming,1
197.898,gill_covered_display,1
203.503,lateral_swimming,1
205.307,gill_covered_display,1
208.884,lateral_swimming,1
212.48,tail_beat,1
213.509,gill_covered_display,1
219.121,lateral_swimming,1
222.192,tail_beat,1
222.961,gill_covered_display,1
225.53,lateral_swimming,1
226.561,gill_covered_display,1
232.434,ramming_biting,1
233.734,lateral_swimming,1
240.642,gill_covered_display,1
242.949,lateral_swimming,1
243.977,gill_covered_display,1
249.115,lateral_swimming,1
251.654,gill_covered_display,1
252.687,ramming_biting,1
258.592,lateral_swimming,1
259.868,n_a,1
263.203,gill_covered_display,1
263.997,ramming_biting,1
265.8,lateral_swimming,1
275.776,gill_covered_display,1
279.614,lateral_swimming,1
281.916,n_a,1
282.684,gill_covered_display,1
286.256,lateral_swimming,1
290.097,gill_covered_display,1
296.262,lateral_swimming,1
299.067,gill_covered_display,1
300.103,lateral_swimming,1
302.136,gill_covered_display,1
305.974,lateral_swimming,1
307.509,gill_covered_display,1
314.416,lateral_swimming,1
321.333,gill_covered_display,1
326.226,lateral_swimming,1
327.762,gill_covered_display,1
336.204,lateral_swimming,1
341.575,gill_covered_display,1
345.68,n_a,1
350.55,gill_covered_display,1
352.326,lateral_swimming,1
354.124,gill_covered_display,1
357.726,n_a,1
359.492,gill_covered_display,1
364.364,n_a,1
365.637,gill_covered_display,1
370.77,lateral_swimming,1
372.039,gill_covered_display,1
378.446,lateral_swimming,1
379.479,gill_covered_display,1
386.521,lateral_swimming,1
389.322,gill_covered_display,1
390.358,lateral_swimming,1
392.392,gill_covered_display,1
394.458,ramming_biting,1
395.73,lateral_swimming,1
398.298,gill_covered_display,1
410.139,lateral_swimming,1
412.442,gill_covered_display,1
418.585,n_a,1
425.492,gill_covered_display,1
427.29,lateral_swimming,1
428.295,gill_covered_display,1
441.107,lateral_swimming,1
443.143,gill_covered_display,1
444.442,n_a,1
446.982,lateral_swimming,1
452.62,gill_covered_display,1
457.49,n_a,1
458.523,gill_covered_display,1
461.061,n_a,1
462.863,gill_covered_display,1
465.433,lateral_swimming,1
466.438,gill_covered_display,1
476.944,lateral_swimming,1
478.479,n_a,1
479.246,gill_covered_display,1
482.315,lateral_swimming,1
487.187,n_a,1
491.025,lateral_swimming,1
491.791,n_a,1
507.142,lateral_swimming,1
510.981,gill_covered_display,1
513.546,lateral_swimming,1
514.315,n_a,1
515.348,gill_covered_display,1
522.256,n_a,1
525.83,lateral_swimming,1
526.861,n_a,1
528.662,lateral_swimming,1
530.196,n_a,1
532.499,gill_covered_display,1
538.139,lateral_swimming,1
545.546,tail_beat,1
546.842,gill_covered_display,1
550.417,lateral_swimming,1
552.72,gill_covered_display,1
555.288,lateral_swimming,1
558.092,gill_covered_display,1
560.394,n_a,1
562.459,gill_covered_display,1
571.142,n_a,1
573.207,gill_covered_display,1
585.486,lateral_swimming,1
587.526,gill_covered_display,1
605.467,lateral_swimming,1
606.474,gill_covered_display,1
612.113,lateral_swimming,1
613.382,gill_covered_display,1
622.355,n_a,1
626.96,gill_covered_display,1
632.069,n_a,1
634.634,gill_covered_display,1
640.538,n_a,1
651.017,gill_covered_display,1
652.819,n_a,1
653.85,gill_covered_display,1
657.425,ramming_biting,1
658.694,n_a,1
661.262,gill_covered_display,1
671.77,lateral_swimming,1
676.613,tail_beat,1
678.917,gill_covered_display,1
694.555,lateral_swimming,1
695.829,gill_covered_display,1
707.607,n_a,1
711.945,END,0
